Student Name,Class,Date,Time,Status,Notes
Mr Narendra Modi Ji,No Class,30-04-2025,14:41:54,Present,
Mr Narendra Modi Ji,Science,30-04-2025,14:29:06,Present,
Mr Narendra Modi Ji,No Class,30-04-2025,14:23:13,Present,
Kunal,No Class,30-04-2025,14:19:10,Present,
Kunal,Science,29-04-2025,13:41:16,Present,
Kunal,No Class,26-04-2025,19:57:01,Present,
Kunal,No Class,26-04-2025,18:49:42,Present,
Modi Ji,Maths,26-04-2025,01:52:05,Present,
Kunal,No Class,26-04-2025,01:49:16,Present,
Kunal,Maths,26-04-2025,01:48:51,Present,
Kunal,Maths,26-04-2025,01:36:20,Present,
Kunal,No Class,26-04-2025,01:35:54,Present,
Kunal,No Class,26-04-2025,01:19:33,Present,
Kunal,No Class,26-04-2025,01:16:41,Present,
Kunal,No Class,25-04-2025,04:50:01,Present,
